Time,ghi,GHI,Temperature,Humidity,Wind_x,Wind_y,Cloud
2015-01-01 0:00,,0,,,-6.108002035,2.223130932,1
2015-01-01 1:00,,0,-1,42,-4.5,-1.10E-15,1
2015-01-01 2:00,,0,-1.3,39,-2.185477873,2.604551107,1
2015-01-01 3:00,,0,-2.5,49,-3.213938048,3.830222216,1
2015-01-01 4:00,,0,-3.3,36,-5.826094249,2.120524889,1
2015-01-01 5:00,,0,-3.7,28,-6.577848346,2.394141003,1
2015-01-01 6:00,,0,-4.4,29,-5.544186463,2.017918846,1
2015-01-01 7:00,,0,-4.8,30,-2.571150439,3.064177772,1
2015-01-01 8:00,,0,-4.8,31,-2.699707961,3.217386661,1
2015-01-01 9:00,,0,-4.2,29,-1.368080573,3.758770483,1
2015-01-01 10:00,,0,-3.7,26,-5.463694682,6.511377767,1
2015-01-01 11:00,,0,-3,22,-7.423571704,2.701959132,1
2015-01-01 12:00,,0,-1.9,19,-1.915312803,5.262278676,1
2015-01-01 13:00,,0,-1.2,18,-4.499513268,5.362311102,1
2015-01-01 14:00,,0,-0.2,17,-1.299676545,3.570831959,1
2015-01-01 15:00,,0,0.3,18,-1.470686616,4.040678269,1
2015-01-01 16:00,,0,-0.4,21,-4.98037089,1.81270676,1
2015-01-01 17:00,,0,-0.9,23,-4.049561941,4.826079992,1
2015-01-01 18:00,,0,-1.6,25,-3.471053092,4.136639993,1
2015-01-01 19:00,,0,-1.7,26,-3.149659287,3.753617771,1
2015-01-01 20:00,,0,-2.3,28,1.149066665,0.964181415,1
2015-01-01 21:00,,0,-2.9,33,,,1
2015-01-01 22:00,,0,-3.7,38,0.889252373,2.443200814,1
2015-01-01 23:00,,0,-4.1,42,,,1
2015-01-02 0:00,,0,-4.4,44,,,1
2015-01-02 1:00,,0,-4.5,45,0.78664633,2.161293028,1
2015-01-02 2:00,,0,-4.1,45,-3.278216809,3.90682666,1
2015-01-02 3:00,,0,-3.6,47,-3.921004419,4.672871103,1
2015-01-02 4:00,,0,-3.5,49,-1.573292659,4.322586056,1
2015-01-02 5:00,,0,-3.6,50,-0.991858416,2.7251086,1
2015-01-02 6:00,,0,-3.3,52,-1.162868487,3.194954911,1
2015-01-02 7:00,,0,-3.1,52,-0.889252373,2.443200814,1
2015-01-02 8:00,,0,-3.8,55,0.612835554,0.514230088,1
2015-01-02 9:00,,0,-1.3,48,1.41E-16,-2.3,1
2015-01-02 10:00,,0,-0.2,34,-4.698463104,1.710100717,1
2015-01-02 11:00,,0,1.1,28,-5.450217201,1.983716831,1
2015-01-02 12:00,,0,1.9,27,-4.178119463,4.97928888,1
2015-01-02 13:00,,0,2.4,28,-3.471053092,4.136639993,1
2015-01-02 14:00,,0,2.3,30,-6.201971297,2.257332946,1
