time,dangjin_floating,dangjin_warehouse,dangjin,ulsan
2018-03-01 0:00,0,0,0,0
2018-03-01 1:00,0,0,0,0
2018-03-01 2:00,0,0,0,0
2018-03-01 3:00,0,0,0,0
2018-03-01 4:00,0,0,0,0
2018-03-01 5:00,0,0,0,0
2018-03-01 6:00,0,0,0,0
2018-03-01 7:00,0,0,0,0
2018-03-01 8:00,0,0,0,4
2018-03-01 9:00,36,33,37,35
2018-03-01 10:00,313,209,318,71
2018-03-01 11:00,532,296,490,82
2018-03-01 12:00,607,315,550,334
2018-03-01 13:00,614,474,727,372
2018-03-01 14:00,608,544,733,346
2018-03-01 15:00,641,496,672,318
2018-03-01 16:00,536,391,546,258
2018-03-01 17:00,348,271,364,160
2018-03-01 18:00,134,80,110,30
2018-03-01 19:00,11,2,0,0
2018-03-01 20:00,0,0,0,0
2018-03-01 21:00,0,0,0,0
2018-03-01 22:00,0,0,0,0
2018-03-01 23:00,0,0,0,0
2018-03-02 0:00,0,0,0,0
2018-03-02 1:00,0,0,0,0
2018-03-02 2:00,0,0,0,0
2018-03-02 3:00,0,0,0,0
2018-03-02 4:00,0,0,0,0
2018-03-02 5:00,0,0,0,0
2018-03-02 6:00,0,0,0,0
2018-03-02 7:00,0,0,0,0
2018-03-02 8:00,11,9,4,18
2018-03-02 9:00,134,93,154,102
2018-03-02 10:00,363,247,367,218
2018-03-02 11:00,563,388,539,264
2018-03-02 12:00,691,479,644,278
2018-03-02 13:00,592,524,709,362
2018-03-02 14:00,619,539,739,352
2018-03-02 15:00,708,504,693,319
2018-03-02 16:00,537,426,583,263
2018-03-02 17:00,351,288,409,163
2018-03-02 18:00,138,81,125,30
2018-03-02 19:00,9,1,0,0
2018-03-02 20:00,0,0,0,0
2018-03-02 21:00,0,0,0,0
2018-03-02 22:00,0,0,0,0
2018-03-02 23:00,0,0,0,0
2018-03-03 0:00,0,0,0,0
2018-03-03 1:00,0,0,0,0
2018-03-03 2:00,0,0,0,0
2018-03-03 3:00,0,0,0,0
2018-03-03 4:00,0,0,0,0
2018-03-03 5:00,0,0,0,0
2018-03-03 6:00,0,0,0,0
2018-03-03 7:00,0,0,0,0
2018-03-03 8:00,10,9,5,14
2018-03-03 9:00,118,83,133,75
2018-03-03 10:00,334,228,335,103
2018-03-03 11:00,524,361,501,167
2018-03-03 12:00,650,440,602,143
2018-03-03 13:00,717,474,646,168
2018-03-03 14:00,705,470,642,256
2018-03-03 15:00,558,357,474,311
2018-03-03 16:00,452,353,491,250
2018-03-03 17:00,323,259,363,151
2018-03-03 18:00,129,78,118,31
2018-03-03 19:00,7,1,0,0
2018-03-03 20:00,0,0,0,0
2018-03-03 21:00,0,0,0,0
2018-03-03 22:00,0,0,0,0
2018-03-03 23:00,0,0,0,0
2018-03-04 0:00,0,0,0,0
2018-03-04 1:00,0,0,0,0
2018-03-04 2:00,0,0,0,0
2018-03-04 3:00,0,0,0,0
2018-03-04 4:00,0,0,0,0
2018-03-04 5:00,0,0,0,0
2018-03-04 6:00,0,0,0,0
2018-03-04 7:00,0,0,0,0
2018-03-04 8:00,0,0,0,20
2018-03-04 9:00,10,3,0,91
2018-03-04 10:00,97,95,129,166
2018-03-04 11:00,226,129,157,257
2018-03-04 12:00,233,157,212,264
2018-03-04 13:00,112,60,51,200
2018-03-04 14:00,48,43,22,105
2018-03-04 15:00,143,132,122,86
2018-03-04 16:00,117,92,85,43
2018-03-04 17:00,83,49,38,20
2018-03-04 18:00,16,5,0,1
2018-03-04 19:00,0,0,0,0
2018-03-04 20:00,0,0,0,0
2018-03-04 21:00,0,0,0,0
2018-03-04 22:00,0,0,0,0
2018-03-04 23:00,0,0,0,0
2018-03-05 0:00,0,0,0,0
2018-03-05 1:00,0,0,0,0
2018-03-05 2:00,0,0,0,0
2018-03-05 3:00,0,0,0,0
2018-03-05 4:00,0,0,0,0
2018-03-05 5:00,0,0,0,0
2018-03-05 6:00,0,0,0,0
2018-03-05 7:00,0,0,0,0
2018-03-05 8:00,0,0,0,0
2018-03-05 9:00,12,12,5,0
2018-03-05 10:00,108,97,124,3
2018-03-05 11:00,377,248,317,0
2018-03-05 12:00,308,206,264,8
2018-03-05 13:00,482,291,397,14
