time,dangjin_floating,dangjin_warehouse,dangjin,ulsan_not_used,ulsan
2015-01-01 1:00,0,0,0,nan,
2015-01-01 2:00,0,0,0,nan,
2015-01-01 3:00,0,0,0,nan,
2015-01-01 4:00,0,0,0,nan,
2015-01-01 5:00,0,0,0,nan,
2015-01-01 6:00,0,0,0,nan,
2015-01-01 7:00,0,0,0,nan,
2015-01-01 8:00,0,0,0,nan,
2015-01-01 9:00,18,12,8,nan,
2015-01-01 10:00,173,150,227,nan,
2015-01-01 11:00,276,195,263,nan,
2015-01-01 12:00,354,270,356,nan,
2015-01-01 13:00,382,254,333,nan,
2015-01-01 14:00,262,184,225,nan,
2015-01-01 15:00,239,131,199,nan,
2015-01-01 16:00,196,183,218,nan,
2015-01-01 17:00,60,53,44,nan,
2015-01-01 18:00,2,0,0,nan,
2015-01-01 19:00,0,0,0,nan,
2015-01-01 20:00,0,0,0,nan,
2015-01-01 21:00,0,0,0,nan,
2015-01-01 22:00,0,0,0,nan,
2015-01-01 23:00,0,0,0,nan,
2015-01-02 0:00,0,0,0,nan,
2015-01-02 1:00,0,0,0,nan,
2015-01-02 2:00,0,0,0,nan,
2015-01-02 3:00,0,0,0,nan,
2015-01-02 4:00,0,0,0,nan,
2015-01-02 5:00,0,0,0,nan,
2015-01-02 6:00,0,0,0,nan,
2015-01-02 7:00,0,0,0,nan,
2015-01-02 8:00,0,0,0,nan,
2015-01-02 9:00,11,9,2,nan,
2015-01-02 10:00,81,60,59,nan,
2015-01-02 11:00,220,173,208,nan,
2015-01-02 12:00,444,326,378,nan,
2015-01-02 13:00,456,419,513,nan,
2015-01-02 14:00,572,478,560,nan,
2015-01-02 15:00,534,420,513,nan,
2015-01-02 16:00,243,257,309,nan,
2015-01-02 17:00,47,103,58,nan,
2015-01-02 18:00,4,3,0,nan,
2015-01-02 19:00,0,0,0,nan,
2015-01-02 20:00,0,0,0,nan,
2015-01-02 21:00,0,0,0,nan,
2015-01-02 22:00,0,0,0,nan,
2015-01-02 23:00,0,0,0,nan,
2015-01-03 0:00,0,0,0,nan,
2015-01-03 1:00,0,0,0,nan,
